distance,1,2,3,4,5,6,7,8,9,10,11
48.911,1.00920143,1.0731833,0.80538074,1.0027909,1.05607484,0.8747359,0.98795925,0.87408349,0.87855254,1.03073503,0.9240263
49.291,1.0190262,1.09720903,0.81171431,1.01485822,1.0316711,0.86004874,1.00671249,0.88498656,0.87388501,1.05788507,0.94965081
49.67,1.01360871,1.09219378,0.82004289,1.00888835,1.0153661,0.83319227,1.01886172,0.86523377,0.8765525,1.0415631,0.93005017
50.049,0.99804225,1.10673953,0.83078019,0.98290729,0.99933385,0.83438297,0.99122766,0.8300671,0.89056884,0.97492134,0.94096184
50.428,0.9880358,1.14692216,0.83534396,0.97304788,0.98748735,0.85695738,0.97343772,0.83728036,0.89967912,0.9775478,0.9520668
50.807,0.96263986,1.18112992,0.82883851,1.01752685,0.95649551,0.87146119,0.99149649,0.85002468,0.88628664,0.97553599,0.91939834
51.186,0.93544123,1.17465504,0.832435,1.03207143,0.92754935,0.86548953,0.99953662,0.8720795,0.86391233,0.9850075,0.89900955
51.566,0.91960851,1.12616416,0.83655306,1.01661073,0.92289677,0.87836985,0.99655827,0.89042621,0.8607907,0.96735063,0.90161238
51.945,0.91668442,1.06756702,0.82619034,1.01257943,0.92511815,0.87460905,1.00012616,0.86798376,0.84019166,0.9773339,0.91648627
52.324,0.92343631,1.02661165,0.81732359,1.01310394,0.93605722,0.87141962,0.99451729,0.85229928,0.81284476,0.95935481,0.89254759
52.703,0.92720145,0.99889897,0.80460194,0.98003664,0.93713775,0.86139081,0.99532024,0.83297618,0.80355328,0.91144488,0.91867677
53.082,0.92113712,0.98209055,0.8107897,0.88799186,0.91984663,0.88475511,1.00341343,0.81530233,0.83556541,0.87518345,0.98060123
53.461,0.90617521,0.96790844,0.81575532,0.83531915,0.9178403,0.85942727,1.03029878,0.81067817,0.85473095,0.86212424,0.98837963
53.841,0.90310546,0.96583769,0.81756778,0.86125061,0.93023231,0.8353413,1.01246758,0.80820976,0.84274905,0.86997114,0.92689328
54.22,0.90047425,0.99226752,0.8265104,0.89667821,0.93249828,0.85115308,0.99652643,0.80003108,0.82691845,0.90767848,0.94312657
54.599,0.89295335,1.01902059,0.81874251,0.92943895,0.92465132,0.85127353,0.99210843,0.79460606,0.83080843,0.98409772,0.96175008
54.978,0.89326189,1.03873816,0.80618325,0.98637509,0.93123417,0.87682737,0.98053106,0.80489294,0.84226968,1.0235109,0.97163952
55.357,0.91871734,1.06258712,0.77631961,1.01649732,0.95308607,0.88873444,0.99007452,0.80966704,0.83557917,1.03569282,0.93529232
55.736,0.95086047,1.07789551,0.78179495,1.03576074,0.96096975,0.89297707,0.97891572,0.80121592,0.85181116,1.01191656,0.89644968
56.115,0.96720847,1.08528455,0.77253228,1.05289952,0.9555671,0.89211255,0.95652148,0.78958512,0.89005507,0.99186067,0.8634097
56.495,0.98306938,1.07473383,0.79186369,1.03065738,0.93400893,0.85744986,0.94768665,0.78211954,0.90027088,0.97493759,0.85784112
56.874,0.99437108,1.0545314,0.79376269,0.99266569,0.90489491,0.83463028,0.94732349,0.78068055,0.89539463,0.97182374,0.88357944
57.253,0.98637249,1.01448009,0.80427358,0.96141824,0.88862138,0.84310275,0.94355869,0.79615659,0.88889908,1.00354166,0.87485397
57.632,0.9658819,0.97638841,0.80486865,0.95443656,0.90758837,0.85860859,0.95484719,0.79217604,0.88668573,1.01103927,0.885669
58.011,0.94954173,0.9621659,0.80792934,0.95455174,0.92311969,0.86613232,0.95589657,0.79159277,0.86436647,1.00192517,0.85927353
58.39,0.93737549,0.97046405,0.81848884,0.96223336,0.9370512,0.83608322,0.94929609,0.80700298,0.85951774,0.94606545,0.84369309
58.77,0.92845598,0.98511081,0.8036477,0.96165037,0.94041606,0.78985138,0.95948451,0.82898283,0.83811134,0.91002334,0.79200598
59.149,0.94839997,0.98304006,0.79983073,0.94651572,0.93400368,0.77389143,0.95870396,0.83590902,0.83399887,0.9236999,0.79689594
59.528,0.94943366,0.97723691,0.77093436,0.93836806,0.92714808,0.80413773,0.95303966,0.84696385,0.83291169,0.92469633,0.81511571
59.907,0.92304162,0.97320653,0.77882198,0.92984828,0.93554055,0.82169347,0.96135688,0.8261341,0.82407435,0.90472168,0.84150045
60.286,0.90898654,0.97091355,0.77354579,0.95620147,0.93876379,0.79105914,0.97133189,0.79739628,0.83300343,0.88978333,0.84730526
60.665,0.91024733,0.96819128,0.79782622,0.9822481,0.94833908,0.77049946,0.98809249,0.78586056,0.83703563,0.8831197,0.84153481
61.045,0.9193078,0.9812471,0.80989947,0.96332137,0.96272692,0.79586674,1.00408079,0.80718948,0.84205637,0.88641767,0.83536491
61.424,0.9429355,0.99793935,0.81756423,0.92493275,0.95789863,0.81667694,1.04035278,0.82285385,0.86797893,0.89526641,0.8148215
61.803,0.96243782,1.02586416,0.81712682,0.90027537,0.94607573,0.81193223,1.08335259,0.82445375,0.86405683,0.91554162,0.80298208
62.182,0.96047381,1.05377381,0.82095683,0.93089553,0.94342161,0.79304934,1.10557232,0.80210821,0.86472427,0.91071109,0.82347395
62.561,0.95913314,1.05954161,0.80510573,0.95369409,0.95115842,0.78501287,1.09720323,0.78098042,0.86010032,0.9169415,0.8054625
