,X,Y7,Y4,Y2,Y5,Y3,Y0,Y1,Y6,Y8,Y9,signal_mean,signal_std
33,32.53172,12185.483999999999,8854.242,13772.356000000002,11896.919,9063.758,11743.04,11986.636999999999,11787.521999999999,12196.243,10503.47,11398.967100000002,1508.5183339090975
34,33.51764,11855.33,8419.849,13547.371000000001,11394.993,8723.22,11236.863000000001,11803.931999999999,11531.113000000001,11851.885,10108.527,11047.3083,1552.780925108172
35,34.5033,11613.288,8069.629,13259.362,10895.858,8477.559000000001,10784.069,11485.75,11371.271999999999,11535.27,9722.786,10721.4843,1563.6129441048486
36,35.48922,11409.568000000001,7673.689,13018.758,10441.938,8243.905,10450.671,11013.159,11055.021999999999,11320.141000000001,9325.805,10395.265599999999,1590.5384366188143
37,36.47514,11100.931,7501.241999999999,12706.423,9974.427,8065.406,10134.134,10595.068000000001,10828.204,10955.063999999998,8935.375,10079.627400000001,1547.904034996586
38,37.4608,10764.075,7314.068,12328.353000000001,9605.48,7851.380999999999,9828.84,9987.978000000001,10482.341,10750.577,8611.052,9752.4145,1495.6651563886035
39,38.44672,10394.421,7072.991999999999,12022.719,9326.588,7669.643,9453.205,9776.296,10034.181999999999,10410.128,8353.586,9451.376,1449.8115257678612
40,39.43238,9976.929,6869.6140000000005,11498.515,9017.501,7434.6,9096.792,9880.363000000001,9617.659,9950.603000000001,8180.281,9152.2857,1362.0198127088108
41,40.4183,9499.318000000001,6734.182,10921.747,8665.601999999999,7211.2,8800.987,9778.545,9198.068000000001,9578.91,7932.088000000001,8832.0647,1259.0343861892336
42,41.40422,8968.788,6586.379,10471.804,8338.541,6982.303000000001,8584.948,9448.091,8576.886999999999,9210.396999999999,7754.53,8492.266800000001,1158.1108870307137
43,42.38988,,6312.8640000000005,9517.12,8079.259,6655.899,8372.021,9132.159,7304.523,8592.218,7499.394,7940.606333333333,1085.9570897040546
44,43.3758,,6064.295,8506.669,7797.22,6079.925,8195.434000000001,8868.909,,7355.731,7341.018,7526.150125,1040.4492534912074
45,44.36146,,5806.25,,7547.274,5194.465,7918.485,8612.021999999999,,,7277.548000000001,7059.340666666667,1302.5082846179007
46,45.34738,,5449.6359999999995,,7362.04,4284.387,7691.691999999999,8460.045,,,7045.906,6715.617666666666,1551.5342198299938
47,46.3333,,4918.939,,7251.9890000000005,,7398.991,8116.022,,,6593.391,6855.866399999999,1210.4204507157006
48,47.31896,,,,6989.184,,6864.499,7697.8859999999995,,,5873.3859999999995,6856.2387499999995,751.0242545667772
49,48.30488,,,,6688.4490000000005,,6016.68,7114.477,,,5025.613,6211.30475,910.5182531226835
50,49.29054,,,,6208.504,,5131.929,6390.272,,,,5910.235000000001,680.1323942314466
