distance,1,2,3,4,5,6,7
33.745,0.38314304,0.29009874,0.31433408,0.37764226,0.28403054,0.29788692,0.66375641
34.124,0.37943575,0.28694875,0.31630291,0.37946791,0.27328577,0.30972251,0.66106353
34.503,0.37938756,0.27914226,0.30541591,0.36343605,0.27338591,0.29563042,0.67199403
34.883,0.36234491,0.27649445,0.30496228,0.36115839,0.28633371,0.29083353,0.67754202
35.262,0.35898457,0.2662358,0.29126936,0.34689921,0.26192515,0.28154812,0.64619103
35.641,0.34645879,0.2770814,0.28308072,0.32936656,0.25926148,0.274808,0.5950425
36.02,0.34420679,0.26335972,0.29127871,0.30282924,0.27332082,0.25479322,0.54421842
36.399,0.34678326,0.24355981,0.28941744,0.32476182,0.2820328,0.23927675,0.51151126
36.778,0.32904028,0.23770984,0.28161696,0.31929545,0.28530229,0.22550771,0.49119785
37.158,0.32032781,0.25799236,0.25925839,0.3003503,0.27241457,0.26676587,0.51226072
37.537,0.31275901,0.2590554,0.25854288,0.30335892,0.25249718,0.25702035,0.50621958
37.916,0.30005333,0.24978804,0.26283595,0.31329939,0.26554012,0.24170946,0.49823827
38.295,0.31425607,0.23335333,0.25020928,0.30556242,0.26519464,0.25343736,0.48069885
38.674,0.30969423,0.22142512,0.26546417,0.29965818,0.25136563,0.24708393,0.48734346
39.053,0.3043164,0.24006417,0.26174164,0.28211847,0.22956565,0.21210579,0.51464863
39.432,0.29222753,0.22510337,0.257023,0.28060356,0.22100889,0.23983475,0.50691714
39.812,0.29714275,0.22167295,0.24670187,0.28655725,0.21604206,0.23721604,0.45000973
40.191,0.30386021,0.22089034,0.24674395,0.26386545,0.22994618,0.23327574,0.40591136
40.57,0.29839886,0.21351429,0.23735345,0.26315566,0.23417199,0.20783753,0.41169619
40.949,0.29475581,0.22832509,0.24167925,0.25916182,0.22433346,0.2153804,0.40304328
41.328,0.28261554,0.24440763,0.25131762,0.26539448,0.22277131,0.21458744,0.39402375
41.707,0.2761101,0.24014896,0.23799414,0.27702641,0.22062336,0.23244852,0.39086691
42.087,0.27429179,0.22189469,0.23217651,0.26792991,0.23689573,0.24121019,0.40253715
42.466,0.27419541,0.21940992,0.22660207,0.25973035,0.23798223,0.23352048,0.3906982
42.845,0.26709886,0.22295773,0.22124275,0.27131638,0.22295657,0.22048566,0.39191162
43.224,0.26030108,0.20096652,0.22013908,0.26806763,0.21952685,0.21258548,0.38588022
43.603,0.26905853,0.20550563,0.23889203,0.26281313,0.23118288,0.20228195,0.36659529
43.982,0.26392485,0.20463172,0.2280518,0.26544391,0.20902241,0.19649142,0.35527545
44.362,0.25750615,0.21117952,0.21210945,0.27010163,0.20275879,0.20724037,0.36644605
44.741,0.26814616,0.22940118,0.19590522,0.26772157,0.20134185,0.19582083,0.37767504
45.12,0.26688683,0.21901209,0.19471737,0.24659411,0.19994993,0.21957523,0.3627409
45.499,0.24915991,0.21257516,0.20335963,0.24767467,0.19937915,0.20494961,0.35189151
45.878,0.24488721,0.21916209,0.21874547,0.24328886,0.19760671,0.2069271,0.35001298
46.257,0.24067554,0.20427955,0.22494657,0.23362384,0.19528852,0.18947229,0.36044708
46.636,0.23438213,0.18797527,0.213316,0.23642765,0.19190387,0.20338817,0.30656025
47.016,0.23763967,0.18890135,0.21125832,0.23835924,0.19653023,0.2110583,0.33138992
47.395,0.23506319,0.18416007,0.20723649,0.23557309,0.18948054,0.18474882,0.30586594
47.774,0.23436607,0.18695136,0.19786001,0.23901958,0.18491926,0.18798917,0.31396405
48.153,0.22673944,0.20163173,0.20398629,0.23836983,0.1787608,0.19583062,0.30199533
48.532,0.22043639,0.19992304,0.20255994,0.24042502,0.16394042,0.19452371,0.32049186
48.911,0.22953437,0.19697523,0.2071944,0.23499749,0.16745024,0.191254,0.31531374
49.291,0.24150117,0.19626436,0.19794419,0.22406475,0.17400926,0.19308954,0.32740899
49.67,0.23882831,0.18126443,0.1914625,0.228161,0.17878082,0.18997646,0.32880086
50.049,0.23158399,0.18318181,0.19677505,0.23669249,0.18642133,0.20770537,0.33761274
50.428,0.22249243,0.189697,0.19975401,0.22182947,0.18294154,0.21358891,0.32165012
50.807,0.23108925,0.18896657,0.20752643,0.21543438,0.17327826,0.2006373,0.31196548
51.186,0.22387705,0.18931222,0.20790056,0.21534963,0.16914257,0.1951943,0.31734475
51.566,0.21925096,0.189547,0.20119439,0.22890256,0.17401427,0.18958977,0.31846408
51.945,0.22596843,0.17868183,0.19134091,0.21506007,0.17775441,0.17912961,0.32325936
52.324,0.20488438,0.17710358,0.19026998,0.20862613,0.17310302,0.19083794,0.31844137
52.703,0.20812264,0.18498833,0.18429335,0.20219573,0.17936663,0.18936461,0.31993057
53.082,0.20664165,0.18956657,0.17904627,0.20865438,0.17184128,0.18948698,0.3010512
53.461,0.19778783,0.17337316,0.17213901,0.20918054,0.15456252,0.18546836,0.29746285
53.841,0.19787457,0.16131452,0.17622631,0.19749917,0.1570159,0.17558578,0.29387451
54.22,0.1916936,0.16350581,0.17421072,0.18786593,0.15929904,0.17299155,0.29305042
