distance,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
31.091,0.28267588,0.30621863,0.2078473,0.24066894,0.24452796,0.25488695,0.33648911,0.37223032
31.47,0.25377351,0.29658867,0.20687112,0.21631306,0.2323847,0.25483183,0.32044447,0.3610445
31.849,0.29107042,0.33265782,0.2016321,0.20667831,0.22880948,0.25243861,0.33226084,0.34604473
32.228,0.28195519,0.32648396,0.20473619,0.22006823,0.22678114,0.25987768,0.31882861,0.32420077
32.608,0.28607175,0.28966861,0.21460325,0.22360707,0.23274579,0.26255302,0.32123104,0.33102929
32.987,0.30765195,0.25661569,0.21035444,0.21253571,0.21623381,0.25471184,0.34811685,0.3172991
33.366,0.3020306,0.24475497,0.21086008,0.22720692,0.21526645,0.23672383,0.36491248,0.3172991
33.745,0.30909909,0.24305048,0.21366219,0.21905871,0.20999278,0.24385158,0.3707744,0.32471278
34.124,0.27197514,0.25278256,0.19967976,0.21446598,0.20647551,0.24868989,0.34710606,0.31200138
34.503,0.26950175,0.2323994,0.19263587,0.21650165,0.20043955,0.25245158,0.3192913,0.30798368
34.883,0.24206381,0.24569754,0.2047713,0.22773941,0.2007516,0.25791576,0.31493134,0.31846418
35.262,0.24991064,0.23696303,0.2226233,0.2400477,0.18500192,0.24873529,0.3203982,0.32731462
35.641,0.27063178,0.20806529,0.2317319,0.23125607,0.17843992,0.25438756,0.31615925,0.32240352
36.02,0.28169574,0.21326515,0.21965967,0.22938126,0.1912474,0.25214027,0.3131838,0.31600863
36.399,0.31043668,0.21240113,0.20543847,0.2213107,0.19443033,0.24859585,0.30280176,0.32856852
36.778,0.28818768,0.21397994,0.20352826,0.22258646,0.18991896,0.24998379,0.30755679,0.35368829
37.158,0.25783817,0.22274587,0.21008055,0.2476135,0.21057676,0.25523718,0.32251945,0.33230932
37.537,0.24979533,0.22500805,0.21282647,0.2803561,0.22843056,0.24840777,0.31800289,0.32303046
37.916,0.26208157,0.22566785,0.21856411,0.27311756,0.22064265,0.24974382,0.29282547,0.32403358
38.295,0.26338457,0.24146382,0.22241262,0.24096847,0.20600298,0.25381358,0.29476164,0.32084137
38.674,0.24781776,0.25224843,0.21770733,0.2172782,0.16804861,0.24460716,0.28594563,0.31958747
39.053,0.24932256,0.24321543,0.21737024,0.21053887,0.19345405,0.23888031,0.27087263,0.32400224
