,X,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y9,Y10,Y11,mean,std
29,19.0,2.6261245918568696,3.2844519050048637,5.792106619972471,5.785582685922025,5.345792765328461,5.684429129844596,6.808143127353769,4.781406394818316,5.333852776317006,6.517914453290655,3.4277376677623845,5.03523110158831,1.363892248179279
30,20.0,2.2239668820700134,2.725041082222337,5.413567774505105,5.554170112037902,5.422956639242309,5.4021740518091805,5.849102823876427,3.682392055817152,4.4250101447997485,5.708033996249187,2.7752371371431197,4.471059336342953,1.3733746080486287
31,21.0,2.2263275094417976,2.367789183395841,4.064417950014689,4.234528763309961,4.264000800868038,4.124905338718385,5.337129258989349,3.6663156202395792,4.46086993121828,4.833150523599183,2.40853155920399,3.8170878580908267,1.0452284282412037
32,22.0,2.168117189109498,2.063383600960478,4.790915989200896,4.717858996993825,4.221706740414512,4.603725624407416,4.680707954629303,3.407493704153431,3.948144542566572,4.863607100724315,2.467315980456061,3.8120888566923923,1.103830731177106
33,23.0,2.166792720993107,2.047082736474968,3.443997147461318,3.615358640711456,3.6966559654587763,3.5237394755493927,4.179400366111182,3.1615321395432865,3.8853694756901023,4.211800123343397,2.2416853765865397,3.288492197083957,0.7916230367196713
34,24.0,2.0838936203136997,1.9246295360744967,3.374187862493418,3.3387662285199986,3.052784020105178,3.273148129719906,3.7237567269380727,3.00287085973102,3.2236692117389656,3.7058261966430717,2.0652794584773653,2.9789828955231994,0.6533560946517181
35,25.0,1.7850108940548373,1.9800750804833287,2.4805200074856923,2.5676996415148423,2.7091506968655255,2.578515077971754,3.360338955074716,2.627836755615973,3.3321295329055394,3.1918531870301914,1.8918360346779637,2.591360533061851,0.5515503262565293
36,26.0,1.5454580202686186,1.554137902503003,2.4041128506087435,2.4075596129896137,2.337189539026611,2.409190723571512,2.8625227784593905,2.2293542805349307,3.0072206358399245,2.8176599808726452,1.7866650986047348,2.3055519475708843,0.5014067543187538
37,27.0,1.6339539281557445,1.4778834861627541,2.5108901873384504,2.438741767219301,2.328308935671771,2.5000027780610257,2.6598807414309977,2.2058788785988335,2.9847978819370478,2.6166555491024712,1.7433103070701017,2.2818458582498633,0.47306334781457116
38,28.0,1.5537432045064048,1.3753208544470854,2.100516575640226,2.1599591887660914,2.3627027428331266,2.2109759403269753,2.4562876672122584,1.8277145632170828,2.823826088733769,2.7673992558939187,1.512193222618862,2.10460357310871,0.4923606434719145
