distance,1,2,3,4,5,6,7,8,9,10
32.228,0.31285549,0.25894381,0.29567721,0.39589154,0.30930591,0.33218173,0.35817647,0.30074433,0.3481045,0.28210547
32.608,0.32047173,0.26447796,0.29016545,0.38971395,0.31203864,0.32307411,0.35113671,0.2958375,0.33794215,0.29266638
32.987,0.31045911,0.25340885,0.28282195,0.40311923,0.3111776,0.33106966,0.35594949,0.30205832,0.34037035,0.28975939
33.366,0.3223034,0.2614429,0.29061562,0.41769411,0.30789329,0.33682518,0.36185705,0.2947438,0.35367207,0.2862191
33.745,0.33080109,0.25880221,0.29020891,0.40921997,0.29155856,0.3236885,0.3663565,0.29837658,0.36385547,0.28812556
34.124,0.33019818,0.26960654,0.29012302,0.40520445,0.28080006,0.32809665,0.36857908,0.29017319,0.3383451,0.29314604
34.503,0.31574862,0.25753747,0.30181197,0.40505194,0.28666065,0.32729551,0.36559852,0.28312662,0.3384759,0.2860739
34.883,0.32402043,0.26685466,0.29616671,0.40228107,0.29546981,0.3345338,0.36182329,0.29940201,0.33974488,0.28317815
35.262,0.32360774,0.26969453,0.28642953,0.40253564,0.30825758,0.32183038,0.36299585,0.30094014,0.31648228,0.28986994
35.641,0.32591919,0.27454472,0.27770758,0.39282406,0.3171147,0.31415136,0.36619287,0.27728968,0.31039149,0.28787168
36.02,0.32951035,0.28125082,0.27581686,0.39119815,0.32474534,0.32176035,0.37224425,0.26983732,0.31384209,0.28442694
36.399,0.31848636,0.26389639,0.286562,0.38372729,0.32200005,0.31470974,0.36519422,0.27051879,0.31397891,0.28644301
36.778,0.3260593,0.26985053,0.29571136,0.38306144,0.30793783,0.31957915,0.36103963,0.26443839,0.30316403,0.27920692
37.158,0.33292148,0.27594386,0.3099813,0.38930927,0.29546866,0.3222683,0.36120766,0.27378701,0.30906989,0.28060467
37.537,0.33822967,0.25720148,0.30855627,0.38224429,0.29090193,0.32547287,0.36388004,0.2726611,0.32488551,0.2732496
37.916,0.33745862,0.26455076,0.30213692,0.38861821,0.29485999,0.32395835,0.36286524,0.25954701,0.32297452,0.27699786
38.295,0.32340648,0.25828144,0.30856248,0.38062619,0.29725699,0.32101243,0.36176679,0.28037626,0.33001104,0.28121548
38.674,0.34398029,0.25547276,0.29829235,0.39331099,0.28670747,0.32132336,0.3604893,0.29517793,0.32700247,0.29464966
39.053,0.34399217,0.26674506,0.29603838,0.3918544,0.28780148,0.30648169,0.36357479,0.27175549,0.31605227,0.29059692
39.432,0.33558365,0.25984137,0.29048729,0.38597641,0.29298374,0.3000212,0.36770737,0.25892995,0.30402555,0.29146068
39.812,0.33719453,0.25896941,0.29158116,0.39050769,0.30019642,0.30524356,0.36007619,0.26482099,0.31524488,0.29522206
40.191,0.33156026,0.26760343,0.30689012,0.39395222,0.30421729,0.30279998,0.35651596,0.27650516,0.29495025,0.28049881
40.57,0.32629368,0.26839299,0.3105629,0.39400265,0.30725265,0.3123614,0.3605392,0.26134021,0.30671987,0.27200549
40.949,0.32421235,0.26154769,0.30177782,0.39427404,0.29396126,0.32434678,0.36630074,0.25980465,0.31722954,0.26488556
41.328,0.3182435,0.26514273,0.29111546,0.39969211,0.29163393,0.32150637,0.36055021,0.25088501,0.31883982,0.26759488
41.707,0.31592016,0.25957898,0.2723883,0.39591135,0.28428421,0.31185999,0.34973962,0.25325405,0.32157023,0.27194834
42.087,0.32215904,0.26394919,0.27495791,0.39073824,0.27788233,0.3175959,0.34504058,0.25378995,0.31732727,0.28174198
42.466,0.31343123,0.27189524,0.28226622,0.38739758,0.28399872,0.31890873,0.35092612,0.26454273,0.32446301,0.28704164
42.845,0.31167683,0.2636964,0.29117135,0.38428267,0.29166362,0.31312706,0.34791695,0.26846279,0.3100562,0.27993015
43.224,0.31275613,0.25407442,0.29121067,0.39251244,0.29837726,0.31075725,0.34630339,0.27407042,0.32745203,0.28273034
43.603,0.31013643,0.25925179,0.29420768,0.38775602,0.30137836,0.31078433,0.34339768,0.2672802,0.33028167,0.28359035
43.982,0.31517798,0.25925099,0.29395724,0.38002818,0.29751051,0.30002867,0.34536564,0.27231071,0.31364663,0.26901231
44.362,0.32016603,0.26730904,0.29495383,0.39094959,0.28904623,0.3209564,0.34593651,0.27139221,0.31666571,0.27346039
44.741,0.31931431,0.26283164,0.30844968,0.39103424,0.28519094,0.33341986,0.33741821,0.25771001,0.31041404,0.27241676
45.12,0.31799639,0.26068373,0.29784321,0.40124296,0.28226749,0.30939306,0.3435503,0.2517932,0.32638603,0.27858205
45.499,0.31879037,0.25254649,0.27908086,0.39261511,0.27389229,0.30208007,0.35437409,0.2669311,0.32341656,0.26950977
45.878,0.31724657,0.25620633,0.28263774,0.3872805,0.27908254,0.301588,0.35438657,0.26722996,0.32248437,0.26373982
46.257,0.32240361,0.2591846,0.27737538,0.39162264,0.29476521,0.31010644,0.3495826,0.25627235,0.32640407,0.26978426
46.636,0.3269934,0.24728352,0.27544016,0.39336682,0.28703979,0.31501787,0.35234303,0.25908196,0.30683865,0.27231277
47.016,0.32294113,0.24161097,0.26767857,0.37874812,0.28529486,0.31118676,0.3512798,0.26054538,0.30937059,0.27357374
47.395,0.31885575,0.24820028,0.27298025,0.37635549,0.27490636,0.31602163,0.34620727,0.26534143,0.30387369,0.2698058
47.774,0.32774407,0.25124015,0.28680623,0.38102126,0.26984515,0.3125276,0.34326707,0.26031737,0.31718594,0.27766676
48.153,0.31887359,0.25442081,0.29946176,0.38237157,0.27007925,0.31810759,0.34229849,0.24239949,0.31080646,0.27452744
48.532,0.3073384,0.26951774,0.30460614,0.37625222,0.27900032,0.3112792,0.34423711,0.25813898,0.30704463,0.27038008
48.911,0.31521619,0.25990696,0.29625053,0.36585257,0.2934942,0.31481245,0.33947129,0.27241119,0.31111318,0.2624067
49.291,0.31839041,0.26941375,0.29541228,0.37089119,0.29569363,0.31211956,0.34673118,0.26695042,0.3170867,0.26277488
49.67,0.30076239,0.26102052,0.29733301,0.37433392,0.28217157,0.31109059,0.34725142,0.27026501,0.30832263,0.27109395
50.049,0.29001778,0.25392003,0.28208511,0.37594001,0.27186644,0.3033042,0.34378877,0.26364871,0.30275206,0.25847294
50.428,0.28533798,0.25403842,0.27888631,0.37106411,0.27523753,0.31430263,0.34471846,0.28288057,0.31042006,0.26093588
50.807,0.29401994,0.250021,0.27699869,0.37200615,0.28000411,0.30926328,0.34333824,0.2735036,0.29342266,0.26887647
51.186,0.28638416,0.25122975,0.27350597,0.36157948,0.27659419,0.29608458,0.338411,0.25124829,0.30221079,0.26334541
51.566,0.2917985,0.25286007,0.27537186,0.3629358,0.27901174,0.29350468,0.34613096,0.2368756,0.30301518,0.25591071
51.945,0.29338391,0.25190172,0.28044587,0.36173138,0.27679632,0.293627,0.34501857,0.24579782,0.30631993,0.26415764
52.324,0.29749052,0.25151773,0.2840193,0.3704625,0.28039923,0.29700524,0.34436625,0.24281816,0.30003368,0.26714145
52.703,0.29906319,0.2567911,0.27509141,0.36997197,0.27938516,0.30178968,0.33674095,0.23916735,0.29273405,0.27318308
53.082,0.29939607,0.24714993,0.26447976,0.3669213,0.26426092,0.30707554,0.33262818,0.24028294,0.29052687,0.2756329
53.461,0.30046857,0.25165853,0.26893388,0.36569347,0.26143112,0.30913816,0.33611651,0.25820339,0.28586142,0.26957815
53.841,0.29242434,0.25117695,0.27661889,0.37041567,0.26074365,0.30492422,0.33986166,0.27024182,0.29348731,0.27433164
54.22,0.28979445,0.24974981,0.26818877,0.36938237,0.26223392,0.31369383,0.34598934,0.26652015,0.30274604,0.27438129
54.599,0.28728853,0.24457724,0.26697278,0.36225794,0.25729947,0.30155532,0.34972421,0.26374919,0.3040917,0.27061429
54.978,0.29661842,0.24492602,0.26900011,0.36261458,0.25304678,0.30036481,0.3503758,0.25261638,0.28945034,0.27761149
55.357,0.29829299,0.24557559,0.27655472,0.36084398,0.25043281,0.29744036,0.34428407,0.24930307,0.29377449,0.28009035
55.736,0.29616666,0.25281368,0.27002257,0.36185146,0.2563642,0.29367649,0.34030192,0.25056939,0.29792573,0.26867973
56.115,0.29562743,0.25170333,0.25748605,0.3689891,0.25872236,0.28080779,0.33829653,0.25066086,0.28832269,0.2643244
56.495,0.29322681,0.25173372,0.26861203,0.35712506,0.25759752,0.28286667,0.33319612,0.2439737,0.30567191,0.26114292
56.874,0.28437247,0.24329649,0.27295231,0.35863869,0.25208409,0.27968171,0.33299066,0.24708604,0.31353236,0.25761574
57.253,0.28084245,0.25108175,0.28001743,0.3642717,0.25117623,0.27432769,0.3317506,0.24748153,0.30461343,0.26022388
57.632,0.27923411,0.25068977,0.27778416,0.36873693,0.25365316,0.28276769,0.33770658,0.25063509,0.31070723,0.25541793
58.011,0.29095697,0.25167453,0.26654952,0.36819656,0.26253883,0.29843665,0.3411839,0.24269836,0.32154617,0.2498316
58.39,0.29214751,0.24655795,0.26562123,0.3527559,0.25907523,0.29775783,0.3367791,0.23526919,0.30960965,0.25818253
58.77,0.29571999,0.24435965,0.26452737,0.35165175,0.24719418,0.30153291,0.3339607,0.23058779,0.29635154,0.25718761
59.149,0.30640006,0.24790589,0.25794036,0.35219452,0.24898251,0.28872304,0.3284736,0.22719333,0.29299566,0.26037565
59.528,0.29846452,0.23983985,0.25781928,0.35185469,0.24771834,0.27979376,0.32915086,0.23402348,0.29830913,0.26179401
59.907,0.29664984,0.24271652,0.26376776,0.35448387,0.2449936,0.28732617,0.3310227,0.24623968,0.29363015,0.25677072
60.286,0.29235301,0.24237974,0.27618113,0.35501823,0.24858282,0.28564079,0.34189346,0.25372425,0.29831064,0.25583295
60.665,0.2895397,0.2431605,0.27769826,0.36178662,0.25261854,0.28016632,0.34199765,0.2563986,0.29884288,0.24525143
61.045,0.2833645,0.23845911,0.2722072,0.36147441,0.25341792,0.28307489,0.34312472,0.24357693,0.30992088,0.24390614
61.424,0.2856785,0.24613877,0.26627838,0.36348877,0.25599306,0.28624304,0.34189712,0.23658833,0.31219873,0.2495187
61.803,0.28160246,0.25016419,0.25969966,0.36816534,0.25883314,0.27893472,0.33371196,0.2297118,0.31368572,0.24798792
62.182,0.28699642,0.24738751,0.2548616,0.36678561,0.24752878,0.26959647,0.33219893,0.22717916,0.31231601,0.24544536
62.561,0.29193861,0.24342849,0.25831602,0.36493755,0.24468185,0.27080472,0.33199788,0.23939665,0.30890901,0.24240721
62.94,0.29099688,0.23967905,0.26613143,0.36504022,0.24219235,0.27102695,0.33642616,0.24737074,0.2958253,0.24003702
63.319,0.2896365,0.24599878,0.26447976,0.35929733,0.24821739,0.27878626,0.3358164,0.23987458,0.29711533,0.25070661
63.699,0.28615404,0.24911624,0.26189257,0.36125526,0.25778252,0.26879719,0.3332805,0.24214443,0.29279268,0.25073939
64.078,0.29314869,0.25293367,0.26939336,0.36166173,0.25274415,0.2745966,0.3327133,0.24762838,0.29534417,0.25850199
64.457,0.29885769,0.25338245,0.27827055,0.34982291,0.24571419,0.27311757,0.33400179,0.25195294,0.28574715,0.25195447
64.836,0.29928992,0.24266772,0.2751121,0.34967761,0.25028092,0.2779403,0.33128539,0.24685545,0.275033,0.25732533
65.215,0.30065964,0.25147294,0.2691067,0.35271147,0.25931505,0.28719732,0.33117973,0.24909438,0.28242585,0.25610932
65.594,0.29330069,0.25648711,0.26495374,0.3542395,0.25746277,0.28844105,0.32738249,0.25304664,0.28773932,0.2568185
65.974,0.29424667,0.259063,0.2643059,0.35179645,0.25145487,0.28166122,0.32984501,0.24758587,0.29270398,0.25236761
66.353,0.28735052,0.25558235,0.25702967,0.35165895,0.25401859,0.27360125,0.33218646,0.2473643,0.28716047,0.25074314
66.732,0.28123052,0.25958298,0.24955267,0.34926573,0.25247465,0.27035746,0.33481701,0.24913045,0.28996004,0.25279668
67.111,0.28085094,0.26203087,0.24376046,0.35339533,0.24907615,0.2644404,0.34241737,0.24289417,0.30241377,0.25896478
67.49,0.28286009,0.25319446,0.25045716,0.355863,0.2437009,0.27422311,0.34838802,0.24250642,0.30346624,0.25386092
67.869,0.29202268,0.25593354,0.25386915,0.35701458,0.2437854,0.27688705,0.34997076,0.23586048,0.30993742,0.24550344
68.249,0.29001354,0.25422161,0.25899801,0.34974246,0.24711767,0.2738907,0.35445994,0.23566725,0.30971189,0.24043143
68.628,0.28456693,0.26054454,0.25498993,0.34693015,0.24757902,0.27240514,0.35122036,0.23513392,0.30712733,0.24053917
69.007,0.28975539,0.26776822,0.25381844,0.35312995,0.24144893,0.28189279,0.34531794,0.23935671,0.31581923,0.24714383
69.386,0.29153696,0.26197647,0.25448904,0.35701158,0.24041659,0.28200764,0.34273875,0.24292122,0.30472469,0.24869804
69.765,0.28807997,0.26117251,0.25506444,0.35288979,0.24519688,0.28039135,0.34530254,0.2353001,0.29483899,0.25385436
70.144,0.2960741,0.25779426,0.25669747,0.35267845,0.24043715,0.27909346,0.34776432,0.22733761,0.29917817,0.25089959
70.523,0.29544231,0.25761506,0.26426865,0.34825104,0.23964576,0.27859578,0.34549111,0.22717787,0.30747164,0.24219549
70.903,0.29319624,0.26322522,0.27245764,0.34467262,0.24555774,0.27599627,0.34215981,0.22523136,0.30141993,0.23520672
71.282,0.292415,0.2612861,0.27684449,0.35008889,0.24415197,0.27562091,0.34238361,0.2316699,0.29836927,0.22911356
71.661,0.28957536,0.25316166,0.27078217,0.35190812,0.24020647,0.2789674,0.34067981,0.24065653,0.29202739,0.22828259
72.04,0.28272592,0.26174048,0.26258697,0.35324283,0.23079664,0.2689606,0.34108851,0.24430864,0.30004571,0.23576132
72.419,0.28140715,0.26674266,0.26103569,0.35141879,0.23398616,0.26805581,0.34076419,0.24698041,0.30721904,0.23415465
72.798,0.28582031,0.26870898,0.24949783,0.35161993,0.23916613,0.26465609,0.34467223,0.24100177,0.29864893,0.23792447
73.178,0.28683423,0.26532673,0.24290047,0.356446,0.23710374,0.26386522,0.33872065,0.23383153,0.29234163,0.2343289
73.557,0.29194541,0.25999416,0.24464942,0.3567396,0.24007628,0.27118475,0.33205585,0.23070631,0.28196577,0.23253393
73.936,0.29360724,0.26762742,0.24670572,0.35735081,0.23712429,0.27946322,0.33786067,0.2405174,0.28434135,0.23439823
74.315,0.28894442,0.26560271,0.25362803,0.35294983,0.23944934,0.27771434,0.34666074,0.24311188,0.28066823,0.24422092
74.694,0.28802817,0.26520753,0.25141235,0.34783796,0.23688562,0.28002159,0.34498408,0.23672745,0.28711386,0.24685435
75.073,0.28267667,0.28022847,0.24690338,0.34844798,0.23389138,0.27222959,0.34657269,0.23567884,0.28916016,0.23964824
75.453,0.28291274,0.27832455,0.2557516,0.34959355,0.23022337,0.26596892,0.3468816,0.23188503,0.29525998,0.24083052
